filter,coin_name,kyc_or_not,presale,per_of_release,current_presale,soft,hard,currency,progress_percentage,day_hour_min_sec,current_date
KYC , Clicks Platform , Yes , Inprogress , Project will receive 80% at first release , 0 ," 25,000 "," 50,000 ", USDT , 0.00% , 18:20:25:15 , 2023-09-11
KYC , Gyrowin (GW) Private Sale , Yes , Canceled , Project will receive 20% at first release ," 4,300 "," 50,000 "," 100,000 ", BUSD , 4.30% , Canceled , 2023-09-11
KYC , Secure Netra , Yes , Ended , Project will receive 90% at first release , 2.2199275 , 25 , 50 , BNB , 4.44% , Ended , 2023-09-11
KYC , TravelCard Private sale BSC , Yes , Canceled , Project will receive 70% at first release , 16.33045525 , 150 , 300 , BNB , 5.44% , Canceled , 2023-09-11
KYC , CoinFeedback - Seed Round , Yes , Canceled , Project will receive 95% at first release , 0.96137955 , 350 , 700 , BNB , 0.14% , Canceled , 2023-09-11
KYC , BeePro Private Round , Yes , Canceled , Project will receive 95% at first release , 3.271459355 , 350 , 700 , BNB , 0.47% , Canceled , 2023-09-11
KYC , Hyperion Private Sale , Yes , Canceled , Project will receive 80% at first release , 0 , 22 , 44 , BNB , 0.00% , Canceled , 2023-09-11
KYC , BeePro Seed Round , Yes , Ended , Project will receive 95% at first release , 531.209904481938108 , 350 , 700 , BNB , 75.89% , Ended , 2023-09-11
KYC , Doge Vegas Seed Sale , Yes , Canceled , Project will receive 90% at first release , 0 , 25 , 50 , BNB , 0.00% , Canceled , 2023-09-11
KYC , BeePro Seed Round , Yes , Canceled , Project will receive 50% at first release , 295.20153 , 700 ," 1,300 ", BNB , 22.71% , Canceled , 2023-09-11
KYC , BRIKN Private Sale , Yes , Canceled , Project will receive 20% at first release , 2.940468926213107877 , 200 , 400 , BNB , 0.74% , Canceled , 2023-09-11
KYC , Cremation Coin Private Sale , Yes , Canceled , Project will receive 95% at first release , 0.377175448 , 5 , 10 , BNB , 3.77% , Canceled , 2023-09-11
KYC , TxHash Dome Private Sale , Yes , Canceled , Project will receive 95% at first release , 5.000875849258827609 , 65 , 100 , BNB , 5.00% , Canceled , 2023-09-11
KYC , BerryChain Private Sale , Yes , Canceled , Project will receive 95% at first release , 0 ," 50,000 "," 100,000 ", BUSD , 0.00% , Canceled , 2023-09-11
KYC , ERODES , Yes , Canceled , Project will receive 80% at first release , 4.033358369064904224 , 40 , 80 , BNB , 5.04% , Canceled , 2023-09-11
KYC , Bomberzilla Private Sale (Launch in 7 days) , Yes , Ended , Project will receive 95% at first release , 0 , 40 , 80 , BNB , 0.00% , Ended , 2023-09-11
KYC , Bomberzilla Private Sale , Yes , Canceled , Project will receive 95% at first release , 3.14153787 , 150 , 300 , BNB , 1.05% , Canceled , 2023-09-11
KYC , Farmarok 30% On Top Private Sale , Yes , Canceled , Project will receive 80% at first release ," 2,039.7668715712286 "," 15,000 "," 30,000 ", USDT , 6.80% , Canceled , 2023-09-11
KYC , BattleForTEN Pre-sale 1 , Yes , Canceled , Project will receive 95% at first release , 0 , 250 , 500 , BNB , 0.00% , Canceled , 2023-09-11
KYC , Royalty Diplomat Finance Private Sale , Yes , Ended , Project will receive 95% at first release , 0 , 18 , 36 , BNB , 0.00% , Ended , 2023-09-11
KYC , Enrgy Green , Yes , Canceled , Project will receive 90% at first release , 7.958547788741027898 , 50 , 100 , BNB , 7.96% , Canceled , 2023-09-11
KYC , Grow Mine Operation (GMO) Presale , Yes , Canceled , Project will receive 50% at first release , 0 , 141 , 281 , BNB , 0.00% , Canceled , 2023-09-11
KYC , Coinology Private Sale Round 1 , Yes , Canceled , Project will receive 90% at first release , 107.509212594484700415 , 350 , 700 , BNB , 15.36% , Canceled , 2023-09-11
KYC , VitalVeda $VVFIT Private sale , Yes , Canceled , Project will receive 80% at first release , 8.688919833391448297 , 20 , 40 , BNB , 21.72% , Canceled , 2023-09-11
KYC , Connect SoulBound Protocol , Yes , Canceled , Project will receive 40% at first release , 0 , 250 , 500 , BNB , 0.00% , Canceled , 2023-09-11
KYC , Artistoken Private Sale , Yes , Ended , Project will receive 95% at first release , 0 , 100 , 150 , BNB , 0.00% , Ended , 2023-09-11
KYC , MIDAS MINER PRIVATE , Yes , Ended , Project will receive 95% at first release , 30 , 15 , 30 , BNB , 100.00% , Ended , 2023-09-11
KYC , Federal Reserve 3.0 Private Sale , Yes , Canceled , Project will receive 95% at first release , 5 , 35 , 70 , BNB , 7.14% , Canceled , 2023-09-11
KYC , Politic Wars Private Sale , Yes , Canceled , Project will receive 50% at first release ," 1,842.139269075245 "," 15,000 "," 30,000 ", BUSD , 6.14% , Canceled , 2023-09-11
KYC , Xdroids Virtual Reality Warfare Seed Sale 1 , Yes , Canceled , Project will receive 50% at first release , 400 ," 50,000 "," 100,000 ", BUSD , 0.40% , Canceled , 2023-09-11
KYC , AVANZO Private round 1 , Yes , Ended , Project will receive 50% at first release , 60.215784077629510871 , 50 , 100 , BNB , 60.22% , Ended , 2023-09-11
KYC , LinkDao Network , Yes , Canceled , Project will receive 20% at first release , 3.506 , 200 , 400 , BNB , 0.88% , Canceled , 2023-09-11
KYC , Neloverse Presale , Yes , Canceled , Project will receive 80% at first release ," 44,415.662039479124 "," 102,000 "," 204,000 ", BUSD , 21.77% , Canceled , 2023-09-11
KYC , Hero World Private Sale , Yes , Ended , Project will receive 95% at first release , 100 , 50 , 100 , BNB , 100.00% , Ended , 2023-09-11
KYC , Branaverse Private Sale Phase 2 , Yes , Ended , Project will receive 50% at first release ," 20,000 "," 10,000 "," 20,000 ", BUSD , 100.00% , Ended , 2023-09-11
KYC , Minionverse $MIVRS IDO , Yes , Ended , Project will receive 50% at first release ," 50,000 "," 25,000 "," 50,000 ", BUSD , 100.00% , Ended , 2023-09-11
KYC , SpinApe - Private Sale , Yes , Ended , Project will receive 50% at first release , 200 ," 25,000 "," 50,000 ", BUSD , 0.40% , Ended , 2023-09-11
KYC , CryptoPredictions365 Private Sale , Yes , Canceled , Project will receive 50% at first release , 10.54 , 25 , 50 , BNB , 21.08% , Canceled , 2023-09-11
KYC , GPS Riding $GPS Seed Sale 1 , Yes , Canceled , Project will receive 80% at first release ," 1,573.7147352491372 "," 150,000 "," 300,000 ", BUSD , 0.52% , Canceled , 2023-09-11
KYC , Neloverse ( NVE ) Private Sale , Yes , Ended , Project will receive 50% at first release ," 170,000 "," 85,000 "," 170,000 ", BUSD , 100.00% , Ended , 2023-09-11
KYC , SLEEP Private Sale #1 , Yes , Canceled , Project will receive 95% at first release ," 1,835.9313990769588 "," 25,000 "," 50,000 ", BUSD , 3.67% , Canceled , 2023-09-11
KYC , Branaverse Private Sale Phase 1 , Yes , Ended , Project will receive 50% at first release ," 13,048.83533093922 "," 10,000 "," 20,000 ", BUSD , 65.24% , Ended , 2023-09-11
KYC , GPS Riding $GPS Seed Sale 1 , Yes , Canceled , Project will receive 80% at first release ," 13,614.063573048312 "," 25,000 "," 50,000 ", BUSD , 27.23% , Canceled , 2023-09-11
KYC , Minionverse $MIVRS PreSale 2 , Yes , Ended , Project will receive 80% at first release ," 83,877.73018238191 "," 75,000 "," 150,000 ", BUSD , 55.92% , Ended , 2023-09-11
KYC , DiversionDao Private Sale , Yes , Ended , Project will receive 95% at first release , 83.80958296 , 50 , 100 , BNB , 83.81% , Ended , 2023-09-11
KYC , DiversionDao Private Sale , Yes , Canceled , Project will receive 50% at first release , 0 , 50 , 100 , BNB , 0.00% , Canceled , 2023-09-11
KYC , Arcadia Private Sale , Yes , Canceled , Project will receive 95% at first release , 0 , 65 , 125 , BNB , 0.00% , Canceled , 2023-09-11
KYC , RacewayX , Yes , Ended , Project will receive 60% at first release , 4.84 , 45 , 90 , BNB , 5.38% , Ended , 2023-09-11
KYC , Doge Kart Private Sale , Yes , Canceled , Project will receive 40% at first release , 0.200048947647812158 , 22.5 , 45 , BNB , 0.44% , Canceled , 2023-09-11
KYC , ERODES ( erode ) , Yes , Ended , Project will receive 5% at first release ," 10,937.859032669008 "," 10,000 "," 20,000 ", BUSD , 54.69% , Ended , 2023-09-11
KYC , PRODUCTSHARE PRIVATE SALE , Yes , Ended , Project will receive 33% at first release ," 3,586.8293039441064 "," 66,666 "," 122,222 ", USDT , 2.93% , Ended , 2023-09-11
KYC , Minionverse $MIVRS PreSale 1 , Yes , Ended , Project will receive 80% at first release ," 253,606.06081773766 "," 150,000 "," 300,000 ", BUSD , 84.54% , Ended , 2023-09-11
KYC , Battle Royal private sale with 20% discount , Yes , Canceled , Project will receive 80% at first release , 1.5 , 25 , 50 , BNB , 3.00% , Canceled , 2023-09-11
KYC , CRYPTO HOME : SEMI-DECENTRALIZED SOCIAL MEDIA PLATFORM FOR CRYPTO LOVERS GLOBALLY , Yes , Canceled , Project will receive 50% at first release , 0 ," 30,000 "," 60,000 ", BUSD , 0.00% , Canceled , 2023-09-11
KYC , INME RUN PRIVATE SALE WITH 20% DISCOUNT , Yes , Ended , Project will receive 40% at first release , 1.023168475 , 50 , 100 , BNB , 1.02% , Ended , 2023-09-11
KYC , RacewayX , Yes , Canceled , Project will receive 70% at first release , 0 ," 30,000 "," 50,000 ", BUSD , 0.00% , Canceled , 2023-09-11
KYC , INME RUN PRIVATE SALE ROUND 1 , Yes , Canceled , Project will receive 40% at first release , 10.913433530684769779 , 20 , 40 , BNB , 27.28% , Canceled , 2023-09-11
KYC , GalaxyPig KYC , Yes , Canceled , Project will receive 95% at first release , 0 , 200 , 295 , BNB , 0.00% , Canceled , 2023-09-11
KYC , LaunchVerse XLV - , Yes , Canceled , Project will receive 50% at first release , 0.6 , 150 , 300 , BNB , 0.20% , Canceled , 2023-09-11
KYC , Blockombat , Yes , Canceled , Project will receive 50% at first release , 0 , 25 , 50 , BNB , 0.00% , Canceled , 2023-09-11
KYC , Minionverse $MIVRS Private Sale , Yes , Ended , Project will receive 50% at first release ," 100,000 "," 50,000 "," 100,000 ", BUSD , 100.00% , Ended , 2023-09-11
KYC , MetaF1 Private Sale , Yes , Ended , Project will receive 40% at first release ," 10,000 "," 5,000 "," 10,000 ", BUSD , 100.00% , Ended , 2023-09-11
